179.113.157.0/24,BR,BR-SP,São Paulo, 
201.27.122.0/24,BR,BR-SP,Diadema, 
189.19.166.0/24,BR,BR-SP,Barretos, 
191.248.199.0/24,BR,BR-SP,São Paulo, 
179.187.231.0/24,BR,BR-SP,São Paulo, 
189.46.162.0/24,BR,BR-SP,Santa Cruz Do Rio Pardo, 
179.94.112.0/24,BR,BR-SP,Carapicuíba, 
187.91.208.0/24,BR,BR-SP,São José Dos Campos, 
189.47.125.0/24,BR,BR-SP,Capivari, 
189.110.216.0/24,BR,BR-SP,Maresias, 
189.68.12.0/24,BR,BR-SP,Ubatuba, 
187.10.193.0/24,BR,BR-SP,Santo André, 
179.135.255.0/24,BR,BR-SP,São Paulo, 
177.68.38.0/24,BR,BR-SP,São Paulo, 
177.144.191.0/24,BR,BR-SP,Rio Claro, 
179.174.42.0/24,BR,BR-SP,Ferraz De Vasconcelos, 
201.69.252.0/24,BR,BR-SP,São Paulo, 
189.115.38.0/24,BR,BR-SP,Lins, 
189.68.246.0/24,BR,BR-SP,Santos, 
177.161.219.0/24,BR,BR-SP,Ribeirão Preto, 
200.158.252.0/24,BR,BR-SP,Sorocaba, 
187.10.165.0/24,BR,BR-SP,Pirassununga, 
189.26.207.0/24,BR,BR-SP,Lençóis Paulista, 
177.170.99.0/24,BR,BR-SP,Ribeirão Preto, 
152.250.169.0/24,BR,BR-SP,Praia Grande, 
177.102.5.0/24,BR,BR-SP,São Bernardo Do Campo, 
179.173.197.0/24,BR,BR-SP,São Paulo, 
177.162.86.0/24,BR,BR-SP,Diadema, 
191.23.37.0/24,BR,BR-SP,São Carlos, 
191.17.233.0/24,BR,BR-SP,São Bernardo Do Campo, 
177.170.80.0/24,BR,BR-SP,São Carlos, 
179.119.66.0/24,BR,BR-SP,Campinas, 
189.38.143.0/24,BR,BR-SP,São Paulo, 
177.68.39.0/24,BR,BR-SP,Guaratinguetá, 
179.94.64.0/24,BR,BR-SP,Peruíbe, 
179.94.118.0/24,BR,BR-SP,São José Dos Campos, 
179.93.198.0/24,BR,BR-SP,Jaboticabal, 
179.162.25.0/24,BR,BR-SP,Sorocaba, 
172.62.69.0/24,BR,BR-SP,Bauru, 
201.13.189.0/24,BR,BR-SP,Tatuí, 
187.75.28.0/24,BR,BR-SP,Birigui, 
201.42.124.0/24,BR,BR-SP,Bauru, 
191.255.235.0/24,BR,BR-SP,Santana De Parnaíba, 
179.97.152.0/24,BR,BR-SP,Arujá, 
201.87.10.0/24,BR,BR-SP,São Paulo, 
200.158.241.0/24,BR,BR-SP,Ribeirão Preto, 
177.94.95.0/24,BR,BR-SP,Praia Grande, 
179.113.222.0/24,BR,BR-SP,Mairiporã, 
177.102.213.0/24,BR,BR-SP,Carapicuíba, 
201.92.239.0/24,BR,BR-SP,Campinas, 
177.188.170.0/24,BR,BR-SP,Pindamonhangaba, 
177.95.234.0/24,BR,BR-SP,São Bernardo Do Campo, 
179.247.240.0/24,BR,BR-SP,São Paulo, 
177.170.97.0/24,BR,BR-SP,Guarujá, 
177.189.122.0/24,BR,BR-SP,Barueri, 
189.0.195.0/24,BR,BR-SP,Caçapava, 
187.91.199.0/24,BR,BR-SP,Itapetininga, 
189.19.158.0/24,BR,BR-SP,Nova Odessa, 
200.158.201.0/24,BR,BR-SP,Mauá, 
179.101.234.0/24,BR,BR-SP,São Paulo, 
191.193.152.0/24,BR,BR-SP,Guaratinguetá, 
177.18.47.0/24,BR,BR-SP,Guarujá, 
179.247.152.0/24,BR,BR-SP,São José Do Rio Pardo, 
189.97.31.0/24,BR,BR-SP,São Paulo, 
177.26.127.0/24,BR,BR-SP,Campinas, 
201.1.62.0/24,BR,BR-SP,São Vicente, 
200.148.3.0/24,BR,BR-SP,Embu Das Artes, 
177.94.21.0/24,BR,BR-SP,São José Dos Campos, 
187.57.60.0/24,BR,BR-SP,Tupã, 
191.19.159.0/24,BR,BR-SP,São Paulo, 
186.215.45.0/24,BR,BR-SP,Campinas, 
179.146.21.0/24,BR,BR-SP,São Paulo, 
189.78.40.0/24,BR,BR-SP,Guarulhos, 
152.243.195.0/24,BR,BR-SP,Bauru, 
179.101.225.0/24,BR,BR-SP,São Paulo, 
187.10.226.0/24,BR,BR-SP,Sorocaba, 
179.94.28.0/24,BR,BR-SP,Campinas, 
189.98.104.0/24,BR,BR-SP,São Paulo, 
187.57.67.0/24,BR,BR-SP,São Paulo, 
179.225.236.0/24,BR,BR-SP,São Paulo, 
187.35.16.0/24,BR,BR-SP,Avaré, 
189.79.82.0/24,BR,BR-SP,Osasco, 
189.98.98.0/24,BR,BR-SP,Jaguariúna, 
191.19.107.0/24,BR,BR-SP,São Paulo, 
179.162.28.0/24,BR,BR-SP,Guarulhos, 
179.97.174.0/24,BR,BR-SP,São Paulo, 
187.90.102.0/24,BR,BR-SP,Franca, 
179.130.206.0/24,BR,BR-SP,São Paulo, 
179.101.197.0/24,BR,BR-SP,São Bernardo Do Campo, 
177.170.174.0/24,BR,BR-SP,Votuporanga, 
191.9.112.0/24,BR,BR-SP,Araraquara, 
200.162.206.0/24,BR,BR-SP,São Caetano Do Sul, 
200.185.255.0/24,BR,BR-SP,Santos, 
179.94.205.0/24,BR,BR-SP,Mogi Das Cruzes, 
152.243.189.0/24,BR,BR-SP,São Paulo, 
179.130.212.0/24,BR,BR-SP,São Paulo, 
